                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.53149,                0.66945,                0.97593,                0.97666,                0.94221,                0.94525,                0.80045,                0.65539,                0.72176,                 1.2179,             0.00045181,             0.00045181,             0.00045181
                    131,                0.55351,                0.72966,                 1.0077,                0.98061,                0.93596,                0.94524,                0.79199,                 0.6597,                0.69927,                 1.2213,             0.00044563,             0.00044563,             0.00044563
                    132,                0.51662,                0.69812,                0.96728,                0.98466,                0.93317,                0.94521,                 0.7989,                0.65075,                 0.6788,                 1.2164,             0.00043944,             0.00043944,             0.00043944
                    133,                0.48696,                0.61628,                0.94846,                0.98466,                0.93317,                0.94521,                 0.7989,                0.65075,                 0.6788,                 1.2164,             0.00043325,             0.00043325,             0.00043325
                    134,                0.53753,                0.64014,                0.99833,                0.97346,                0.94611,                0.94519,                0.80684,                 0.6308,                0.66024,                 1.1953,             0.00042706,             0.00042706,             0.00042706
                    135,                0.46797,                0.62779,                0.98149,                0.97897,                0.94613,                0.94512,                0.81953,                0.61741,                0.66835,                 1.1724,             0.00042087,             0.00042087,             0.00042087
                    136,                0.52529,                 0.6211,                0.98638,                 0.9828,                0.94682,                0.94513,                0.81209,                0.62233,                0.68105,                 1.1632,             0.00041469,             0.00041469,             0.00041469
                    137,                0.52703,                0.69201,                0.97573,                 0.9828,                0.94682,                0.94513,                0.81209,                0.62233,                0.68105,                 1.1632,              0.0004085,              0.0004085,              0.0004085
                    138,                 0.5179,                0.58363,                0.94868,                0.98457,                0.94686,                0.94515,                0.81492,                0.61135,                0.67686,                 1.1445,             0.00040231,             0.00040231,             0.00040231
                    139,                0.49725,                0.60293,                0.99471,                0.98544,                   0.95,                0.94519,                 0.8189,                0.59583,                0.68499,                 1.1251,             0.00039613,             0.00039613,             0.00039613
                    140,                 0.4896,                0.60898,                0.96077,                0.98234,                0.94416,                0.94506,                0.82143,                0.58446,                0.69225,                 1.1117,             0.00038994,             0.00038994,             0.00038994
                    141,                0.46791,                0.62208,                 0.9613,                0.98234,                0.94416,                0.94506,                0.82143,                0.58446,                0.69225,                 1.1117,             0.00038375,             0.00038375,             0.00038375
                    142,                0.43688,                0.57987,                0.94202,                0.98362,                0.93781,                0.94506,                0.80853,                0.57356,                0.69827,                  1.105,             0.00037756,             0.00037756,             0.00037756
                    143,                0.41692,                0.56694,                0.92014,                0.98351,                0.93498,                0.94506,                 0.8165,                0.56046,                0.69291,                 1.0949,             0.00037138,             0.00037138,             0.00037138
                    144,                0.51551,                0.61073,                0.99053,                 0.9832,                0.93324,                0.94506,                0.82389,                0.55194,                0.68385,                 1.0834,             0.00036519,             0.00036519,             0.00036519
                    145,                0.47892,                0.60369,                0.95862,                 0.9832,                0.93324,                0.94506,                0.82389,                0.55194,                0.68385,                 1.0834,               0.000359,               0.000359,               0.000359
                    146,                0.45271,                0.59239,                0.92588,                0.98698,                0.92931,                0.94506,                0.82621,                0.54945,                0.67692,                 1.0763,             0.00035281,             0.00035281,             0.00035281
                    147,                0.48268,                0.54675,                0.91892,                 0.9899,                0.92761,                0.94506,                0.82563,                0.56551,                0.67033,                 1.0813,             0.00034663,             0.00034663,             0.00034663
                    148,                0.47166,                0.61072,                 0.9583,                0.99204,                0.92711,                0.94506,                0.82231,                0.57985,                0.66524,                 1.0894,             0.00034044,             0.00034044,             0.00034044
                    149,                 0.4558,                0.60067,                0.95657,                0.99204,                0.92711,                0.94506,                0.82231,                0.57985,                0.66524,                 1.0894,             0.00033425,             0.00033425,             0.00033425
                    150,                0.45807,                0.56172,                0.91048,                0.99407,                0.92724,                0.94506,                0.82067,                 0.5869,                 0.6587,                 1.0934,             0.00032806,             0.00032806,             0.00032806
                    151,                0.50623,                0.59597,                0.96741,                0.99279,                0.92817,                0.94506,                0.81592,                0.58208,                0.64582,                 1.0883,             0.00032188,             0.00032188,             0.00032188
                    152,                0.52494,                0.58749,                0.97029,                0.99213,                0.92852,                0.94511,                0.81852,                0.57293,                0.63997,                  1.084,             0.00031569,             0.00031569,             0.00031569
                    153,                  0.377,                0.54069,                0.93019,                0.99213,                0.92852,                0.94511,                0.81852,                0.57293,                0.63997,                  1.084,              0.0003095,              0.0003095,              0.0003095
