                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.67522,                0.47314,                 1.0659,                 0.9758,                0.99248,                0.99391,                0.78246,                 0.8137,                0.36533,                 1.3157,              0.0093961,              0.0093961,              0.0093961
                     63,                0.66146,                0.46615,                 1.0601,                0.98002,                0.98951,                0.99425,                0.82301,                0.69122,                0.37577,                 1.1557,              0.0093862,              0.0093862,              0.0093862
                     64,                0.66851,                0.45472,                 1.0545,                0.98556,                0.99167,                0.99425,                0.76646,                0.87552,                0.38962,                 1.3489,              0.0093763,              0.0093763,              0.0093763
                     65,                0.65454,                0.45428,                 1.0531,                0.98327,                      1,                 0.9948,                0.76961,                 0.8312,                0.40884,                 1.3323,              0.0093664,              0.0093664,              0.0093664
                     66,                0.66109,                0.46095,                 1.0663,                0.97818,                0.98635,                0.99199,                0.78475,                0.70839,                0.38741,                 1.1765,              0.0093565,              0.0093565,              0.0093565
                     67,                0.67678,                0.46334,                 1.0672,                0.98746,                 0.9917,                 0.9948,                0.80191,                0.75514,                0.38634,                 1.1815,              0.0093466,              0.0093466,              0.0093466
                     68,                0.65204,                0.45991,                 1.0501,                0.97588,                 0.9875,                 0.9942,                0.77169,                0.87231,                0.39483,                 1.3089,              0.0093367,              0.0093367,              0.0093367
                     69,                0.66961,                0.45399,                 1.0637,                0.98606,                0.99734,                  0.995,                0.79934,                0.72425,                0.38772,                 1.1795,              0.0093268,              0.0093268,              0.0093268
                     70,                0.66546,                0.45823,                 1.0588,                0.98741,                0.99122,                 0.9936,                0.82279,                0.70584,                0.33418,                 1.1592,              0.0093169,              0.0093169,              0.0093169
                     71,                0.64414,                0.44213,                 1.0467,                0.98251,                0.98522,                0.99249,                0.79821,                0.71261,                0.35976,                 1.1631,               0.009307,               0.009307,               0.009307
                     72,                0.65928,                 0.4493,                 1.0587,                0.98776,                0.99479,                  0.995,                0.78817,                0.75929,                0.37896,                 1.2167,              0.0092971,              0.0092971,              0.0092971
                     73,                0.65192,                0.43541,                 1.0566,                0.97625,                0.98595,                0.99285,                0.78936,                0.76776,                0.36242,                 1.2112,              0.0092872,              0.0092872,              0.0092872
                     74,                0.64875,                0.44331,                 1.0519,                0.95139,                0.98716,                0.99101,                0.80847,                0.71227,                0.36107,                 1.1664,              0.0092773,              0.0092773,              0.0092773
                     75,                0.66055,                0.44729,                 1.0545,                0.98098,                0.99583,                0.99358,                0.79848,                0.79825,                 0.3506,                 1.2822,              0.0092674,              0.0092674,              0.0092674
                     76,                 0.6332,                0.43345,                 1.0463,                0.95921,                  0.946,                0.98557,                0.77914,                 0.7716,                0.48337,                 1.2351,              0.0092575,              0.0092575,              0.0092575
                     77,                0.63922,                0.44117,                 1.0449,                0.96806,                0.97141,                0.99066,                0.80221,                 0.6826,                0.40949,                 1.1622,              0.0092476,              0.0092476,              0.0092476
                     78,                 0.6479,                0.42946,                 1.0508,                0.95974,                0.98638,                0.99431,                0.79631,                0.74776,                0.38663,                 1.1931,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.6481,                0.42239,                 1.0563,                0.98671,                 0.9875,                0.99313,                0.80602,                0.74502,                 0.3628,                 1.2582,              0.0092278,              0.0092278,              0.0092278
                     80,                0.63019,                0.43131,                 1.0399,                0.97527,                0.99418,                 0.9946,                0.78875,                0.75452,                0.37795,                 1.2279,              0.0092179,              0.0092179,              0.0092179
                     81,                   0.64,                0.42713,                 1.0454,                0.97687,                0.98717,                  0.995,                0.76491,                0.81915,                0.47672,                 1.2863,               0.009208,               0.009208,               0.009208
                     82,                0.65179,                0.44072,                 1.0612,                 0.9846,                0.99252,                0.99441,                0.78174,                 0.7447,                0.37732,                 1.2134,              0.0091981,              0.0091981,              0.0091981
                     83,                0.63506,                0.44189,                 1.0515,                0.98843,                      1,                  0.995,                0.79847,                0.73335,                0.37513,                 1.2043,              0.0091882,              0.0091882,              0.0091882
                     84,                0.65366,                 0.4357,                 1.0507,                0.98304,                 0.9875,                0.99442,                0.81152,                0.70849,                 0.3916,                 1.1645,              0.0091783,              0.0091783,              0.0091783
                     85,                0.61848,                0.43022,                  1.031,                0.99356,                0.99357,                  0.995,                0.77871,                0.81392,                0.39325,                 1.3394,              0.0091684,              0.0091684,              0.0091684
                     86,                0.63942,                0.42994,                 1.0463,                0.93028,                0.96202,                0.99162,                0.80271,                0.75229,                0.42248,                 1.2192,              0.0091585,              0.0091585,              0.0091585
                     87,                0.63565,                0.42532,                 1.0448,                0.99309,                0.99875,                  0.995,                0.80676,                0.70038,                0.38927,                 1.1791,              0.0091486,              0.0091486,              0.0091486
                     88,                0.61825,                0.41793,                 1.0391,                0.97663,                0.99583,                0.99431,                0.79229,                0.74559,                0.36187,                 1.2307,              0.0091387,              0.0091387,              0.0091387
                     89,                0.62423,                0.41673,                  1.036,                0.97609,                0.99167,                0.99382,                0.77845,                0.74733,                0.38385,                 1.2011,              0.0091288,              0.0091288,              0.0091288
                     90,                0.62541,                0.41977,                 1.0393,                0.94456,                0.96519,                0.99042,                0.78057,                0.81692,                0.44454,                 1.2934,              0.0091189,              0.0091189,              0.0091189
                     91,                0.63798,                0.41349,                 1.0496,                0.98316,                0.98953,                0.99389,                0.82054,                0.71335,                0.34636,                 1.1799,               0.009109,               0.009109,               0.009109
                     92,                0.62673,                0.41689,                 1.0443,                0.98888,                0.99787,                  0.995,                0.81654,                0.74379,                0.31043,                 1.2291,              0.0090991,              0.0090991,              0.0090991
                     93,                0.62713,                0.42399,                 1.0455,                0.97069,                0.98966,                0.99442,                0.79487,                0.69138,                0.42085,                 1.1508,              0.0090892,              0.0090892,              0.0090892
                     94,                0.63652,                0.43213,                 1.0422,                0.98252,                0.99642,                0.99424,                0.79205,                0.73672,                0.34645,                 1.2227,              0.0090793,              0.0090793,              0.0090793
                     95,                0.62665,                 0.4156,                 1.0373,                0.98839,                0.99795,                  0.995,                0.75142,                0.85846,                  0.401,                 1.3378,              0.0090694,              0.0090694,              0.0090694
                     96,                0.63631,                 0.4248,                 1.0427,                0.98892,                0.99447,                0.99446,                0.78264,                0.79937,                0.37443,                 1.2845,              0.0090595,              0.0090595,              0.0090595
                     97,                0.61046,                0.40976,                 1.0287,                0.96809,                0.98526,                  0.995,                0.78998,                0.77714,                0.36714,                 1.2448,              0.0090496,              0.0090496,              0.0090496
                     98,                0.61387,                0.40537,                 1.0309,                0.96612,                0.97962,                0.99272,                0.77472,                0.80021,                0.41467,                 1.2609,              0.0090397,              0.0090397,              0.0090397
                     99,                0.62107,                0.42086,                 1.0413,                0.97883,                0.98491,                  0.995,                 0.7787,                0.83675,                0.39281,                 1.3701,              0.0090298,              0.0090298,              0.0090298
                    100,                0.61494,                0.41138,                 1.0307,                0.98013,                0.98458,                 0.9923,                0.81846,                0.68392,                0.37352,                 1.1495,              0.0090199,              0.0090199,              0.0090199
                    101,                0.60828,                0.40607,                 1.0249,                0.97657,                0.93393,                0.98968,                 0.7614,                0.84488,                0.44255,                  1.354,                0.00901,                0.00901,                0.00901
                    102,                0.60632,                0.40368,                 1.0295,                0.96991,                0.96089,                 0.9909,                0.79017,                0.77179,                0.44963,                 1.2583,              0.0090001,              0.0090001,              0.0090001
                    103,                0.62213,                0.41275,                 1.0456,                0.97935,                0.99167,                0.99284,                0.78272,                 0.7719,                0.39436,                 1.2353,              0.0089902,              0.0089902,              0.0089902
                    104,                 0.6151,                0.41157,                  1.033,                0.97966,                0.99723,                 0.9944,                0.79141,                0.76273,                0.37371,                 1.2347,              0.0089803,              0.0089803,              0.0089803
                    105,                0.59539,                0.39355,                 1.0284,                   0.97,                0.99652,                  0.995,                0.79899,                0.73223,                0.38493,                 1.2266,              0.0089704,              0.0089704,              0.0089704
                    106,                0.59437,                0.40167,                 1.0261,                0.99126,                0.99331,                0.99462,                0.80339,                0.74835,                0.39108,                 1.2271,              0.0089605,              0.0089605,              0.0089605
                    107,                0.62865,                0.41215,                  1.041,                0.99009,                0.99676,                  0.995,                0.81317,                0.70969,                0.40457,                 1.1943,              0.0089506,              0.0089506,              0.0089506
                    108,                0.59925,                0.39339,                 1.0298,                0.97813,                 0.9977,                  0.995,                0.77588,                0.88739,                 0.3763,                 1.3912,              0.0089407,              0.0089407,              0.0089407
                    109,                0.60961,                0.38951,                 1.0284,                0.97564,                0.99126,                  0.995,                0.79163,                0.76383,                 0.3808,                 1.2207,              0.0089308,              0.0089308,              0.0089308
