                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.5626,                0.90683,                0.95908,                 0.9938,                0.94636,                0.94563,                0.81363,                0.61474,                 1.0938,                0.99141,             0.00042087,             0.00042087,             0.00042087
                     70,                0.53611,                0.90515,                0.96225,                0.98782,                0.94286,                0.94574,                0.81686,                0.60304,                 1.0828,                0.99677,              0.0004085,              0.0004085,              0.0004085
                     71,                0.53335,                0.83391,                0.95619,                0.99011,                0.93604,                0.94582,                0.81257,                0.60154,                 1.0742,                 1.0099,             0.00039613,             0.00039613,             0.00039613
                     72,                0.57583,                0.85592,                 1.0076,                0.99021,                0.93422,                0.94583,                0.81872,                0.59188,                 1.0611,                 1.0067,             0.00038375,             0.00038375,             0.00038375
                     73,                0.46881,                0.86054,                0.92915,                0.99021,                0.93422,                0.94583,                0.81872,                0.59188,                 1.0611,                 1.0067,             0.00037138,             0.00037138,             0.00037138
                     74,                0.59069,                0.89108,                0.96819,                0.98848,                 0.9342,                0.94611,                0.81942,                 0.5827,                 1.0697,                 1.0095,               0.000359,               0.000359,               0.000359
                     75,                0.58667,                0.88696,                0.98951,                0.98415,                0.92362,                0.94402,                0.80444,                0.58282,                  1.059,                 1.0131,             0.00034663,             0.00034663,             0.00034663
                     76,                0.57242,                0.85312,                 1.0044,                0.98643,                0.93441,                0.94632,                0.80708,                0.57799,                 1.0734,                 1.0129,             0.00033425,             0.00033425,             0.00033425
                     77,                0.52234,                 0.8677,                0.98881,                0.98643,                0.93441,                0.94632,                0.80708,                0.57799,                 1.0734,                 1.0129,             0.00032188,             0.00032188,             0.00032188
                     78,                0.50101,                0.80135,                0.95853,                0.98591,                0.93548,                 0.9462,                0.82017,                0.56535,                 1.0736,                 1.0022,              0.0003095,              0.0003095,              0.0003095
                     79,                0.59431,                0.87357,                0.98312,                0.98711,                 0.9351,                0.94596,                0.82872,                 0.5556,                 1.0857,                0.98965,             0.00029713,             0.00029713,             0.00029713
                     80,                0.51694,                 0.8267,                0.92879,                0.98939,                0.93374,                  0.946,                0.82965,                 0.5336,                 1.0703,                 0.9703,             0.00028475,             0.00028475,             0.00028475
                     81,                0.50267,                0.83962,                0.93952,                0.98939,                0.93374,                  0.946,                0.82965,                 0.5336,                 1.0703,                 0.9703,             0.00027237,             0.00027237,             0.00027237
                     82,                0.49674,                0.77819,                0.93765,                0.99339,                 0.9306,                0.94586,                0.83503,                 0.5204,                 1.0599,                0.95618,                0.00026,                0.00026,                0.00026
                     83,                 0.4843,                0.81081,                0.94548,                0.99122,                0.93019,                0.94594,                0.83365,                0.50991,                 1.0345,                0.94874,             0.00024762,             0.00024762,             0.00024762
                     84,                0.44738,                0.81623,                0.93496,                0.99016,                0.93045,                0.94602,                0.83404,                0.50144,                  1.009,                0.94675,             0.00023525,             0.00023525,             0.00023525
                     85,                0.50668,                0.82787,                0.94049,                0.99016,                0.93045,                0.94602,                0.83404,                0.50144,                  1.009,                0.94675,             0.00022288,             0.00022288,             0.00022288
                     86,                0.50955,                0.78203,                0.96788,                0.99129,                0.92988,                0.94606,                0.83909,                0.49691,                0.99684,                 0.9493,              0.0002105,              0.0002105,              0.0002105
                     87,                0.55209,                0.82862,                0.98562,                0.99211,                0.92989,                0.94632,                0.82941,                0.50423,                0.98773,                0.96306,             0.00019813,             0.00019813,             0.00019813
                     88,                0.53307,                0.77545,                0.98182,                0.99326,                0.92978,                0.94603,                0.82523,                0.51024,                0.98016,                0.97256,             0.00018575,             0.00018575,             0.00018575
                     89,                 0.4626,                0.77401,                0.95114,                0.99326,                0.92978,                0.94603,                0.82523,                0.51024,                0.98016,                0.97256,             0.00017338,             0.00017338,             0.00017338
                     90,                0.49511,                0.77089,                0.95065,                0.99413,                0.92921,                0.94589,                0.82512,                0.51125,                0.95482,                0.97787,               0.000161,               0.000161,               0.000161
                     91,                0.39812,                 0.9666,                 0.8652,                0.99404,                0.92905,                0.94573,                0.82578,                0.50383,                0.95721,                0.97203,             0.00014862,             0.00014862,             0.00014862
                     92,                0.39721,                 1.0015,                0.87845,                0.99282,                0.92962,                0.94557,                0.84201,                0.48995,                0.96466,                 0.9589,             0.00013625,             0.00013625,             0.00013625
                     93,                0.39227,                0.95746,                0.86595,                0.99282,                0.92962,                0.94557,                0.84201,                0.48995,                0.96466,                 0.9589,             0.00012387,             0.00012387,             0.00012387
                     94,                0.34551,                0.91575,                0.84424,                0.99109,                0.93041,                0.94548,                0.83469,                0.48547,                0.97457,                0.95154,              0.0001115,              0.0001115,              0.0001115
                     95,                0.34635,                0.92029,                0.83282,                  0.989,                0.93132,                0.94538,                0.83661,                0.48032,                0.98384,                 0.9431,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.36724,                 0.9373,                0.90996,                0.98696,                 0.9325,                0.94531,                0.83912,                0.48191,                 1.0033,                0.93903,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.35911,                0.92093,                0.88947,                0.98696,                 0.9325,                0.94531,                0.83912,                0.48191,                 1.0033,                0.93903,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.29898,                0.91376,                0.84039,                0.98639,                0.93294,                0.94528,                0.83537,                 0.4842,                 1.0208,                0.93773,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.32416,                0.94407,                0.88715,                0.98643,                0.93285,                0.94525,                0.83535,                0.48554,                 1.0176,                0.93697,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.30909,                0.94662,                0.83167,                0.98739,                0.93238,                0.94523,                0.83633,                0.49148,                 1.0159,                0.94068,              3.725e-05,              3.725e-05,              3.725e-05
